account_id,npi,month,territory,district,region,specialty,payer_channel,referrals_in,active_referrers
HCP0108,9999000108,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0109,9999000109,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,1,1
HCP0111,9999000111,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,1,1
HCP0112,9999000112,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0113,9999000113,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,0,0
HCP0114,9999000114,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,0,0
HCP0116,9999000116,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0117,9999000117,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,0,0
HCP0118,9999000118,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,0,0
HCP0119,9999000119,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,0,0
HCP0121,9999000121,2024-07,E-PCP-01,East District 1,East,Primary Care,Medicaid,1,1
HCP0122,9999000122,2024-07,E-PCP-02,East District 2,East,Primary Care,Cash,0,0
HCP0123,9999000123,2024-07,E-PCP-01,East District 1,East,Primary Care,Commercial,1,1
HCP0124,9999000124,2024-07,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,2,2
HCP0126,9999000126,2024-07,E-PCP-02,East District 2,East,Primary Care,Cash,2,2
HCP0127,9999000127,2024-07,E-PCP-01,East District 1,East,Primary Care,Commercial,2,1
HCP0128,9999000128,2024-07,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,0,0
HCP0129,9999000129,2024-07,E-PCP-01,East District 1,East,Primary Care,Medicaid,0,0
HCP0131,9999000131,2024-07,E-PCP-01,East District 1,East,Primary Care,Commercial,0,0
HCP0132,9999000132,2024-07,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,0,0
HCP0133,9999000133,2024-07,E-PCP-01,East District 1,East,Primary Care,Medicaid,1,1
HCP0134,9999000134,2024-07,E-PCP-02,East District 2,East,Primary Care,Cash,1,1
HCP0136,9999000136,2024-07,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,1,1
HCP0137,9999000137,2024-07,E-PCP-01,East District 1,East,Primary Care,Medicaid,0,0
HCP0138,9999000138,2024-07,E-PCP-02,East District 2,East,Primary Care,Cash,0,0
HCP0139,9999000139,2024-07,E-PCP-01,East District 1,East,Primary Care,Commercial,3,1
HCP0141,9999000141,2024-07,E-CAR-01,East District 1,East,Cardiology,Medicaid,0,0
HCP0142,9999000142,2024-07,E-CAR-02,East District 2,East,Cardiology,Cash,0,0
HCP0143,9999000143,2024-07,E-CAR-01,East District 1,East,Cardiology,Commercial,0,0
HCP0144,9999000144,2024-07,E-CAR-02,East District 2,East,Cardiology,Medicare Part D,0,0
HCP0146,9999000146,2024-07,E-CAR-02,East District 2,East,Cardiology,Cash,1,1
HCP0147,9999000147,2024-07,E-CAR-01,East District 1,East,Cardiology,Commercial,0,0
HCP0148,9999000148,2024-07,E-CAR-02,East District 2,East,Cardiology,Medicare Part D,2,2
HCP0149,9999000149,2024-07,E-CAR-01,East District 1,East,Cardiology,Medicaid,0,0
HCP0151,9999000151,2024-07,E-CAR-01,East District 1,East,Cardiology,Commercial,2,1
HCP0152,9999000152,2024-07,E-CAR-02,East District 2,East,Cardiology,Medicare Part D,2,2
HCP0153,9999000153,2024-07,E-CAR-01,East District 1,East,Cardiology,Medicaid,1,1
HCP0154,9999000154,2024-07,E-CAR-02,East District 2,East,Cardiology,Cash,2,2
HCP0156,9999000156,2024-07,E-CAR-02,East District 2,East,Cardiology,Medicare Part D,2,2
HCP0157,9999000157,2024-07,E-CAR-01,East District 1,East,Cardiology,Medicaid,0,0
HCP0158,9999000158,2024-07,E-CAR-02,East District 2,East,Cardiology,Cash,0,0
HCP0159,9999000159,2024-07,E-CAR-01,East District 1,East,Cardiology,Commercial,1,1
HCP0161,9999000161,2024-07,E-END-01,East District 1,East,Endocrinology,Medicaid,0,0
HCP0162,9999000162,2024-07,E-END-02,East District 2,East,Endocrinology,Cash,0,0
HCP0163,9999000163,2024-07,E-END-01,East District 1,East,Endocrinology,Commercial,2,1
HCP0164,9999000164,2024-07,E-END-02,East District 2,East,Endocrinology,Medicare Part D,0,0
HCP0166,9999000166,2024-07,E-END-02,East District 2,East,Endocrinology,Cash,0,0
HCP0167,9999000167,2024-07,E-END-01,East District 1,East,Endocrinology,Commercial,0,0
HCP0168,9999000168,2024-07,E-END-02,East District 2,East,Endocrinology,Medicare Part D,2,2
HCP0169,9999000169,2024-07,E-END-01,East District 1,East,Endocrinology,Medicaid,0,0
HCP0171,9999000171,2024-07,E-END-01,East District 1,East,Endocrinology,Commercial,0,0
HCP0172,9999000172,2024-07,E-END-02,East District 2,East,Endocrinology,Medicare Part D,0,0
HCP0173,9999000173,2024-07,E-END-01,East District 1,East,Endocrinology,Medicaid,0,0
HCP0174,9999000174,2024-07,E-END-02,East District 2,East,Endocrinology,Cash,1,1
HCP0176,9999000176,2024-07,E-END-02,East District 2,East,Endocrinology,Medicare Part D,0,0
HCP0177,9999000177,2024-07,E-END-01,East District 1,East,Endocrinology,Medicaid,2,2
HCP0178,9999000178,2024-07,E-END-02,East District 2,East,Endocrinology,Cash,1,1
HCP0179,9999000179,2024-07,E-END-01,East District 1,East,Endocrinology,Commercial,1,1
HCP0181,9999000181,2024-07,W-PCP-01,West District 1,West,Primary Care,Cash,0,0
HCP0182,9999000182,2024-07,W-PCP-02,West District 2,West,Primary Care,Commercial,0,0
HCP0183,9999000183,2024-07,W-PCP-01,West District 1,West,Primary Care,Medicare Part D,1,1
HCP0184,9999000184,2024-07,W-PCP-02,West District 2,West,Primary Care,Medicaid,0,0
HCP0186,9999000186,2024-07,W-PCP-02,West District 2,West,Primary Care,Commercial,1,1
HCP0187,9999000187,2024-07,W-PCP-01,West District 1,West,Primary Care,Medicare Part D,0,0
HCP0188,9999000188,2024-07,W-PCP-02,West District 2,West,Primary Care,Medicaid,0,0
HCP0189,9999000189,2024-07,W-PCP-01,West District 1,West,Primary Care,Cash,1,1
HCP0191,9999000191,2024-07,W-PCP-01,West District 1,West,Primary Care,Medicare Part D,0,0
HCP0192,9999000192,2024-07,W-PCP-02,West District 2,West,Primary Care,Medicaid,0,0
HCP0193,9999000193,2024-07,W-PCP-01,West District 1,West,Primary Care,Cash,0,0
HCP0194,9999000194,2024-07,W-PCP-02,West District 2,West,Primary Care,Commercial,3,2
HCP0196,9999000196,2024-07,W-PCP-02,West District 2,West,Primary Care,Medicaid,0,0
HCP0197,9999000197,2024-07,W-PCP-01,West District 1,West,Primary Care,Cash,0,0
HCP0198,9999000198,2024-07,W-PCP-02,West District 2,West,Primary Care,Commercial,0,0
HCP0199,9999000199,2024-07,W-PCP-01,West District 1,West,Primary Care,Medicare Part D,0,0
HCP0201,9999000201,2024-07,W-CAR-01,West District 1,West,Cardiology,Cash,0,0
HCP0202,9999000202,2024-07,W-CAR-02,West District 2,West,Cardiology,Commercial,1,1
HCP0203,9999000203,2024-07,W-CAR-01,West District 1,West,Cardiology,Medicare Part D,1,1
HCP0204,9999000204,2024-07,W-CAR-02,West District 2,West,Cardiology,Medicaid,1,1
HCP0206,9999000206,2024-07,W-CAR-02,West District 2,West,Cardiology,Commercial,0,0
HCP0207,9999000207,2024-07,W-CAR-01,West District 1,West,Cardiology,Medicare Part D,0,0
HCP0208,9999000208,2024-07,W-CAR-02,West District 2,West,Cardiology,Medicaid,1,1
HCP0209,9999000209,2024-07,W-CAR-01,West District 1,West,Cardiology,Cash,0,0
HCP0211,9999000211,2024-07,W-CAR-01,West District 1,West,Cardiology,Medicare Part D,0,0
HCP0212,9999000212,2024-07,W-CAR-02,West District 2,West,Cardiology,Medicaid,0,0
HCP0213,9999000213,2024-07,W-CAR-01,West District 1,West,Cardiology,Cash,1,1
HCP0214,9999000214,2024-07,W-CAR-02,West District 2,West,Cardiology,Commercial,1,1
HCP0216,9999000216,2024-07,W-CAR-02,West District 2,West,Cardiology,Medicaid,1,1
HCP0217,9999000217,2024-07,W-CAR-01,West District 1,West,Cardiology,Cash,1,1
HCP0218,9999000218,2024-07,W-CAR-02,West District 2,West,Cardiology,Commercial,2,1
HCP0219,9999000219,2024-07,W-CAR-01,West District 1,West,Cardiology,Medicare Part D,0,0
HCP0221,9999000221,2024-07,W-END-01,West District 1,West,Endocrinology,Cash,2,1
HCP0222,9999000222,2024-07,W-END-02,West District 2,West,Endocrinology,Commercial,1,1
HCP0223,9999000223,2024-07,W-END-01,West District 1,West,Endocrinology,Medicare Part D,1,1
HCP0224,9999000224,2024-07,W-END-02,West District 2,West,Endocrinology,Medicaid,0,0
HCP0226,9999000226,2024-07,W-END-02,West District 2,West,Endocrinology,Commercial,0,0
HCP0227,9999000227,2024-07,W-END-01,West District 1,West,Endocrinology,Medicare Part D,0,0
HCP0228,9999000228,2024-07,W-END-02,West District 2,West,Endocrinology,Medicaid,1,1
HCP0229,9999000229,2024-07,W-END-01,West District 1,West,Endocrinology,Cash,0,0
HCP0231,9999000231,2024-07,W-END-01,West District 1,West,Endocrinology,Medicare Part D,1,1
HCP0232,9999000232,2024-07,W-END-02,West District 2,West,Endocrinology,Medicaid,0,0
HCP0233,9999000233,2024-07,W-END-01,West District 1,West,Endocrinology,Cash,0,0
HCP0234,9999000234,2024-07,W-END-02,West District 2,West,Endocrinology,Commercial,1,1
HCP0236,9999000236,2024-07,W-END-02,West District 2,West,Endocrinology,Medicaid,0,0
HCP0237,9999000237,2024-07,W-END-01,West District 1,West,Endocrinology,Cash,1,1
HCP0238,9999000238,2024-07,W-END-02,West District 2,West,Endocrinology,Commercial,2,1
HCP0239,9999000239,2024-07,W-END-01,West District 1,West,Endocrinology,Medicare Part D,1,1
HCP0001,9999000001,2024-08,N-PCP-01,North District 1,North,Primary Care,Commercial,2,2
HCP0002,9999000002,2024-08,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,1,1
HCP0003,9999000003,2024-08,N-PCP-01,North District 1,North,Primary Care,Medicaid,0,0
HCP0004,9999000004,2024-08,N-PCP-02,North District 2,North,Primary Care,Cash,0,0
HCP0006,9999000006,2024-08,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0007,9999000007,2024-08,N-PCP-01,North District 1,North,Primary Care,Medicaid,0,0
HCP0008,9999000008,2024-08,N-PCP-02,North District 2,North,Primary Care,Cash,1,1
HCP0009,9999000009,2024-08,N-PCP-01,North District 1,North,Primary Care,Commercial,0,0
HCP0011,9999000011,2024-08,N-PCP-01,North District 1,North,Primary Care,Medicaid,0,0
HCP0012,9999000012,2024-08,N-PCP-02,North District 2,North,Primary Care,Cash,0,0
HCP0013,9999000013,2024-08,N-PCP-01,North District 1,North,Primary Care,Commercial,1,1
HCP0014,9999000014,2024-08,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0016,9999000016,2024-08,N-PCP-02,North District 2,North,Primary Care,Cash,2,2
HCP0017,9999000017,2024-08,N-PCP-01,North District 1,North,Primary Care,Commercial,1,1
HCP0018,9999000018,2024-08,N-PCP-02,North District 2,North,Primary Care,Medicare Part D,0,0
HCP0019,9999000019,2024-08,N-PCP-01,North District 1,North,Primary Care,Medicaid,0,0
HCP0021,9999000021,2024-08,N-CAR-01,North District 1,North,Cardiology,Commercial,2,1
HCP0022,9999000022,2024-08,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,0,0
HCP0023,9999000023,2024-08,N-CAR-01,North District 1,North,Cardiology,Medicaid,1,1
HCP0024,9999000024,2024-08,N-CAR-02,North District 2,North,Cardiology,Cash,0,0
HCP0026,9999000026,2024-08,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,0,0
HCP0027,9999000027,2024-08,N-CAR-01,North District 1,North,Cardiology,Medicaid,0,0
HCP0028,9999000028,2024-08,N-CAR-02,North District 2,North,Cardiology,Cash,1,1
HCP0029,9999000029,2024-08,N-CAR-01,North District 1,North,Cardiology,Commercial,0,0
HCP0031,9999000031,2024-08,N-CAR-01,North District 1,North,Cardiology,Medicaid,0,0
HCP0032,9999000032,2024-08,N-CAR-02,North District 2,North,Cardiology,Cash,0,0
HCP0033,9999000033,2024-08,N-CAR-01,North District 1,North,Cardiology,Commercial,2,1
HCP0034,9999000034,2024-08,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,2,1
HCP0036,9999000036,2024-08,N-CAR-02,North District 2,North,Cardiology,Cash,1,1
HCP0037,9999000037,2024-08,N-CAR-01,North District 1,North,Cardiology,Commercial,1,1
HCP0038,9999000038,2024-08,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,1,1
HCP0039,9999000039,2024-08,N-CAR-01,North District 1,North,Cardiology,Medicaid,0,0
HCP0041,9999000041,2024-08,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0042,9999000042,2024-08,N-END-02,North District 2,North,Endocrinology,Medicare Part D,1,1
HCP0043,9999000043,2024-08,N-END-01,North District 1,North,Endocrinology,Medicaid,2,1
HCP0044,9999000044,2024-08,N-END-02,North District 2,North,Endocrinology,Cash,0,0
HCP0046,9999000046,2024-08,N-END-02,North District 2,North,Endocrinology,Medicare Part D,0,0
HCP0047,9999000047,2024-08,N-END-01,North District 1,North,Endocrinology,Medicaid,0,0
HCP0048,9999000048,2024-08,N-END-02,North District 2,North,Endocrinology,Cash,0,0
HCP0049,9999000049,2024-08,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0051,9999000051,2024-08,N-END-01,North District 1,North,Endocrinology,Medicaid,0,0
HCP0052,9999000052,2024-08,N-END-02,North District 2,North,Endocrinology,Cash,4,1
HCP0053,9999000053,2024-08,N-END-01,North District 1,North,Endocrinology,Commercial,0,0
HCP0054,9999000054,2024-08,N-END-02,North District 2,North,Endocrinology,Medicare Part D,1,1
HCP0056,9999000056,2024-08,N-END-02,North District 2,North,Endocrinology,Cash,1,1
HCP0057,9999000057,2024-08,N-END-01,North District 1,North,Endocrinology,Commercial,1,1
HCP0058,9999000058,2024-08,N-END-02,North District 2,North,Endocrinology,Medicare Part D,1,1
HCP0059,9999000059,2024-08,N-END-01,North District 1,North,Endocrinology,Medicaid,1,1
HCP0061,9999000061,2024-08,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,1,1
HCP0062,9999000062,2024-08,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0063,9999000063,2024-08,S-PCP-01,South District 1,South,Primary Care,Cash,0,0
HCP0064,9999000064,2024-08,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0066,9999000066,2024-08,S-PCP-02,South District 2,South,Primary Care,Medicaid,1,1
HCP0067,9999000067,2024-08,S-PCP-01,South District 1,South,Primary Care,Cash,0,0
HCP0068,9999000068,2024-08,S-PCP-02,South District 2,South,Primary Care,Commercial,1,1
HCP0069,9999000069,2024-08,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,1,1
HCP0071,9999000071,2024-08,S-PCP-01,South District 1,South,Primary Care,Cash,0,0
HCP0072,9999000072,2024-08,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0073,9999000073,2024-08,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0074,9999000074,2024-08,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0076,9999000076,2024-08,S-PCP-02,South District 2,South,Primary Care,Commercial,0,0
HCP0077,9999000077,2024-08,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,0,0
HCP0078,9999000078,2024-08,S-PCP-02,South District 2,South,Primary Care,Medicaid,0,0
HCP0079,9999000079,2024-08,S-PCP-01,South District 1,South,Primary Care,Cash,1,1
HCP0081,9999000081,2024-08,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,1,1
HCP0082,9999000082,2024-08,S-CAR-02,South District 2,South,Cardiology,Medicaid,0,0
HCP0083,9999000083,2024-08,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0084,9999000084,2024-08,S-CAR-02,South District 2,South,Cardiology,Commercial,3,1
HCP0086,9999000086,2024-08,S-CAR-02,South District 2,South,Cardiology,Medicaid,2,2
HCP0087,9999000087,2024-08,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0088,9999000088,2024-08,S-CAR-02,South District 2,South,Cardiology,Commercial,0,0
HCP0089,9999000089,2024-08,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,1,1
HCP0091,9999000091,2024-08,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0092,9999000092,2024-08,S-CAR-02,South District 2,South,Cardiology,Commercial,1,1
HCP0093,9999000093,2024-08,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,1,1
HCP0094,9999000094,2024-08,S-CAR-02,South District 2,South,Cardiology,Medicaid,1,1
HCP0096,9999000096,2024-08,S-CAR-02,South District 2,South,Cardiology,Commercial,1,1
HCP0097,9999000097,2024-08,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,0,0
HCP0098,9999000098,2024-08,S-CAR-02,South District 2,South,Cardiology,Medicaid,0,0
HCP0099,9999000099,2024-08,S-CAR-01,South District 1,South,Cardiology,Cash,0,0
HCP0101,9999000101,2024-08,S-END-01,South District 1,South,Endocrinology,Medicare Part D,2,1
HCP0102,9999000102,2024-08,S-END-02,South District 2,South,Endocrinology,Medicaid,2,1
HCP0103,9999000103,2024-08,S-END-01,South District 1,South,Endocrinology,Cash,0,0
HCP0104,9999000104,2024-08,S-END-02,South District 2,South,Endocrinology,Commercial,3,2
HCP0106,9999000106,2024-08,S-END-02,South District 2,South,Endocrinology,Medicaid,3,1
HCP0107,9999000107,2024-08,S-END-01,South District 1,South,Endocrinology,Cash,1,1
HCP0108,9999000108,2024-08,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0109,9999000109,2024-08,S-END-01,South District 1,South,Endocrinology,Medicare Part D,1,1
HCP0111,9999000111,2024-08,S-END-01,South District 1,South,Endocrinology,Cash,1,1
HCP0112,9999000112,2024-08,S-END-02,South District 2,South,Endocrinology,Commercial,1,1
HCP0113,9999000113,2024-08,S-END-01,South District 1,South,Endocrinology,Medicare Part D,0,0
HCP0114,9999000114,2024-08,S-END-02,South District 2,South,Endocrinology,Medicaid,0,0
HCP0116,9999000116,2024-08,S-END-02,South District 2,South,Endocrinology,Commercial,0,0
HCP0117,9999000117,2024-08,S-END-01,South District 1,South,Endocrinology,Medicare Part D,1,1
HCP0118,9999000118,2024-08,S-END-02,South District 2,South,Endocrinology,Medicaid,0,0
HCP0119,9999000119,2024-08,S-END-01,South District 1,South,Endocrinology,Cash,0,0
HCP0121,9999000121,2024-08,E-PCP-01,East District 1,East,Primary Care,Medicaid,1,1
HCP0122,9999000122,2024-08,E-PCP-02,East District 2,East,Primary Care,Cash,0,0
HCP0123,9999000123,2024-08,E-PCP-01,East District 1,East,Primary Care,Commercial,0,0
HCP0124,9999000124,2024-08,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,0,0
HCP0126,9999000126,2024-08,E-PCP-02,East District 2,East,Primary Care,Cash,1,1
HCP0127,9999000127,2024-08,E-PCP-01,East District 1,East,Primary Care,Commercial,0,0
HCP0128,9999000128,2024-08,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,0,0
HCP0129,9999000129,2024-08,E-PCP-01,East District 1,East,Primary Care,Medicaid,1,1
HCP0131,9999000131,2024-08,E-PCP-01,East District 1,East,Primary Care,Commercial,2,1
HCP0132,9999000132,2024-08,E-PCP-02,East District 2,East,Primary Care,Medicare Part D,1,1
HCP0133,9999000133,2024-08,E-PCP-01,East District 1,East,Primary Care,Medicaid,1,1
